id	name	tag
0	COMMUNITY RESERVE	BLN
1	Prison Master	
2	Morgana	
3	Makoto Niijima	R
4	Haru Okumura	R
5	Yusuke Kitagawa	
6	Sojiro Sakura	
7	Ann Takamaki	R
8	Ryuji Sakamoto	
9	Goro Akechi	
10	Futaba Sakura	R
11	Fortune Teller	R
12	Twin Wardens	
13	Weapons Dealer	
14	Back-alley Doctor	R
15	Sadayo Kawakami	R
16	Ichiko Ohya	R
17	Skilled Gamer	
18	Hifumi Togo	R
19	Yuuki Mishima	
20	Man of the People	
21	Prosecutor	
22	World	
23	Makoto Niijima	F
24	Haru Okumura	F
25	Ann Takamaki	F
26	Futaba Sakura	F
27	Fortune Teller	F
28	Back-alley Doctor	F
29	Sadayo Kawakami	F
30	Ichiko Ohya	F
31	Hifumi Togo	F
32	Prosecutor	
33	DUMMY	
34	DUMMY	
