id	name	tag
0	Not Used	BLN
1	Shadow of God	
2	Fly of the Dead	
3	Brave Spear-bearer	
4	Crypt-dwelling Pyromaniac	
5	Mocking Snowman	
6	Beguiling Girl	
7	Guard Dog of Hades	
8	Woman Who Brings Ruin	
9	War-hungry Horseman	
10	Hero-gathering Tyrant	
11	Girl of the Hanging Tree	
12	Vicious Pentagram	
13	Throbbing King of Desire	
14	Cruel Leopard	
15	Thunder Emperor	
16	Expressionless Beast	
17	Herald of Death	
18	Strumming Veena Player	
19	Funerary Warrior	
20	Human-eating Lady	
21	Auspicious Pachyderm	
22	Bearer of the Scales	
23	Coffin-borne God	
24	Cleanser of Heaven	
25	The Shadowed One	
26	Prankster Leader	
27	Dancing Lion	
28	Rebellious Elephant	
29	Monarch of Snow	
30	Self-infatuated Star	
31	She of Life and Death	
32	Slithering Snakewoman	
33	Fused Ghost	
34	Battle Fiend	
35	Night-walking Warrior	
36	Rhetorician of the Sea	
37	Vicious Young Warrior	
38	Scandalous Queen	
39	Bedside Brute	
40	Chivalrous Fiend	
41	Harlot of Desire	
42	Dancing Witch	
43	Hunting Wolf Spirit	
44	Destructive Beauty	
45	Declarer of Anguish	
46	Angry Warrior	
47	Mysterious Little Girl	
48	The Blackened Fury	
49	Monk of the Valley	
50	Unfaithful Dream-King	
51	Bringer of Misfortune	
52	Drunken Serpents	
53	Equine Sage	
54	Nimble Monkey King	
55	Heavenly Punisher	
56	Piggyback Demon	
57	Midnight Queen	
58	Prison Master	
59	Abyssal King of Avarice	
60	Rooftop Lion	
61	Envoy of Slumber	
62	Missionary of Depravity	
63	Jealous Lover	
64	Bloody Goddess	
65	The Black Avenger	
66	RESERVE	FLR
67	Embittered Blacksmith	
68	Twin-headed Guardian	
69	Twilight Prostitute	
70	Vampire Moth	
71	RESERVE	FLR
72	Merciless Inquisitor	
73	Ascended Feline	
74	Evil Snowman	
75	Awakened God	
76	Zealous Messenger	
77	Quaking Lady of Shadow	
78	Mountain Girl	
79	RESERVE	FLR
80	Divine Warrior	
81	Possessing Dog Ghost	
82	Wandering Reviver	
83	RESERVE	FLR
84	Viscid Rotting Meat	
85	Thief of Tablets	
86	RESERVE	FLR
87	Grudging Warrior Arisen	
88	Defeated Avenger	
89	Captivating Dancer	
90	Lamenting Sacrifice	
91	Life-draining Spirit	
92	Shadowy Ninja	
93	Samurai Killer	
94	Raging Water Demon	
95	Tornado Devil	
96	RESERVE	FLR
97	Wishless Star	
98	Mad Marsh Horse	
99	Chanting Baboon	
100	Hedonistic Braggart	
101	Waterside Nymph	
102	Menacing Owlman	
103	Torn King of Desire	
104	Leafy Old Man	
105	Foolish Monk	
106	Regent	
107	Queen's Necklace	
108	Stone of Scone	
109	Koh-i-Noor	
110	Orlov	
111	Emperor's Talisman	
112	Hope Diamond	
113	Crystal Skull	
114	RESERVE	FLR
115	RESERVE	FLR
116	RESERVE	FLR
117	RESERVE	FLR
118	RESERVE	FLR
119	RESERVE	FLR
120	RESERVE	FLR
121	Gallows-Flower	
122	Reviled Dictator	
123	Bloodthirsty Demoness	
124	Troublesome Housemaid	
125	Killer Teddy Bear	
126	Pulsing Mud	
127	Dirty Two-horned Beast	
128	Dark Sun	
129	Noisy Mountain Spirit	
130	Wavering Tree Spirit	
131	Apprentice in a Jug	
132	Corpse Bird	
133	Night Chimera	
134	Corpse-eating Corpse	
135	Pagan Savior	
136	Heretic Goat	
137	Snake King	
138	Cavern Snakeman	
139	Raging Bird God	
140	Sacrificial Pyrekeeper	
141	Final Assessor	
142	Ambassador of Filth	
143	Brutal Cavalryman	
144	Gathering Devil	
145	RESERVE	FLR
146	RESERVE	FLR
147	RESERVE	FLR
148	RESERVE	FLR
149	RESERVE	FLR
150	RESERVE	FLR
151	RESERVE	FLR
152	RESERVE	FLR
153	RESERVE	FLR
154	RESERVE	FLR
155	RESERVE	FLR
156	RESERVE	FLR
157	Apocalyptic Guide	
158	RESERVE	FLR
159	RESERVE	FLR
160	RESERVE	FLR
161	RESERVE	FLR
162	RESERVE	FLR
163	RESERVE	FLR
164	RESERVE	FLR
165	RESERVE	FLR
166	RESERVE	FLR
167	RESERVE	FLR
168	RESERVE	FLR
169	RESERVE	FLR
170	Execurobo MDL-ED	
171	Corporobo MDL-?	
172	Corporobo MDL-?	
173	Corporobo MDL-?	
174	Corporobo MDL-CH	
175	Corporobo MDL-WKR	
176	Demonic Warlord	
177	Floodbringer Demon	
178	Tornado Devil	
179	Raging Bird God	
180	Viscid Rotting Meat	
181	Troublesome Housemaid	
182	Dancing Witch	
183	Shadow Takanashi	
184	Shadow Nakanohara	
185	Defeated Avenger	
186	Raging Bird God	
187	Torn King of Desire	
188	RESERVE	FLR
189	RESERVE	FLR
190	The Reaper	
191	RESERVE	FLR
192	RESERVE	FLR
193	RESERVE	FLR
194	Incubus	
195	Justine	
196	Caroline	
197	Holy Grail Tentacle A	
198	Holy Grail Tentacle B	
199	Holy Grail Tentacle C	
200	RESERVE	FLR
201	Suguru Asmodeus Kamoshida	
202	Trophy of Obsession	
203	Teacher Boss Post Aff Change	
204	Weak Tomb of Human Sacrifice	
205	Holy Grail	
206	Painter's Right Eye	
207	Painter's Left Eye	
208	Painter's Nose	
209	Painter's Mouth	
210	Ichiryusai Azazel Madarame	
211	Museum Boss All Weakness	
212	Treasure of Mementos?	
213	Junya Bael Kaneshiro	
214	Piggytron	
215	Beast That Rules the Palace	
216	Piggytron	
217	Goro Akechi	
218	Cognitive Wakaba Isshiki	
219	Guard Dog of Hades	
220	Spear-wielding General	
221	Kunikazu Mammon Okumura	
222	Execurobo MDL-ED	
223	Corporobo MDL-GM	
224	Corporobo MDL-DM	
225	Corporobo MDL-AM	
226	Corporobo MDL-CH	
227	Corporobo MDL-WKR	
228	Shadow Sae	
229	Sae Leviathan Niijima	
230	Holy Grail	
231	Goro Akechi	
232	Goro Akechi	
233	Beast of Human Sacrifice	
234	Wings of Human Sacrifice	
235	Tomb of Human Sacrifice	
236	Masayoshi Samael Shido	
237	True Masayoshi Samael Shido	
238	Holy Grail	
239	God of Control, Yaldabaoth	
240	Sword of Conviction	
241	Gun of Execution	
242	Bell of Declaration	
243	Book of Commandments	
244	Justine	
245	Caroline	
246	Haru's Fiance	
247	Museum Boss, Right Eye	
248	Museum Boss, Left Eye	
249	Museum Boss, Nose	
250	Museum Boss, Mouth	
251	Shadow TV President	
252	Shadow Cleaner	
253	Crypt-dwelling Pyromaniac	
254	Final Measurer	
255	Snake King	
256	Guard Captain	
257	Guard Captain	
258	Sacrificial Pyrekeeper	
259	Gallows-Flower	
260	Cruel Leopard	
261	Dirty Two-horned Beast	
262	Shadow Mr. Takase	
263	Viscid Rotting Meat	
264	Shadow Mrs. Magario	
265	Beguiling Girl	
266	Shadow Oyamada	
267	Rhetorician of the Sea	
268	Shadow Mr. Magario	
269	Shadow Nejima	
270	Funerary Warrior	
271	The Black Avenger	
272	Auspicious Pachyderm	
273	Shadow Uchimura	
274	Heretic Goat	
275	Shadow Akitsu	
276	RESERVE	FLR
277	Security Shadow	
278	Shadow Wakasa	
279	Life-draining Spirit	
280	Guard Dog of Hades	
281	Wandering Reviver	
282	Politician Ooe	
283	Shadow Shimizu	
284	Shadow IT President	
285	Embittered Blacksmith	
286	Shadow Honjo	
287	Hunting Wolf Spirit	
288	Shadow Jochi	
289	Zealous Messenger	
290	Sacrificial Pyrekeeper	
291	Coffin-borne God	
292	Shadow Fukurai	
293	Shadow Takanashi	
294	Tornado Devil	
295	Shadow Oda	
296	Shadow Nakanohara	
297	Shadow Sakoda	
298	Shadow Mrs. Takase	
299	Shadow Mogami	
300	Shadow Togo	
301	Chivalrous Guard	
302	Cavern Snakeman	
303	Heretic Goat	
304	Shadow Tsuda	
305	Shadow Isazuka	
306	Midnight Queen	
307	Shadow Hashisato	
308	Shadow Isshiki	
309	Shadow Asakura	
310	Shadow Arita	
311	Shadow Shimomi	
312	Shadow Kishi	
313	Shadow Odo	
314	Shadow Takena	
315	Shadow Naguri	
316	Shadow Akitsu	
317	Shadow Oda	
318	Shadow Yoshioka	
319	Wandering Reviver	
320	Shadow Odo	
321	Shadow Asakura	
322	Bearer of the Scales	
323	Shadow Mrs. Togo	
324	Shadow Tsuboi	
325	Former Noble	
326	Thief of Tablets	
327	Shadow Kiritani	
328	Thunder Emperor	
329	Missionary of Depravity	
330	Heavenly Punisher	
331	Dark Sun	
332	RESERVE	FLR
333	Goddess of Life and Death	
334	RESERVE	FLR
335	Scandalous Queen	
336	Spear-wielding General	
337	Pagan Savior	
338	Bringer of Misfortune	
339	Raging Bird God	
340	Thunder Emperor	
341	Spear-wielding General	
342	Harlot of Desire	
343	Bedside Brute	
344	Monk of the Valley	
345	Battle Fiend	
346	Awakened God	
347	Shadow Makigami	
348	Chivalrous Guard	
349	Corpse Bird	
350	RESERVE	FLR
