id	name	tag
0	Blank	BLN
1	Thief Clothes	UNK
2	Dark Undershirt	Males|Hero
3	Print T-Shirt	Males|Ryuji
4	Neckerchief	Cats|Morgana
5	Baseball Jacket	Females|Ann
6	Dress Shirt	Males|Yusuke
7	Turtleneck	Females|Makoto
8	Pink Top	Females|Haru
9	Loose Cutsew	Females|Futaba
10	Formal Shirt	Males|Akechi
11	0x00B	FLR
12	0x00C	FLR
13	Gold Breastplate	Males
14	Grimy Gear	Unisex
15	Soiled Armor	Unisex
16	Shoulder Pads	Males
17	Battle Camisole	Females
18	Padded Shirt	Unisex
19	Silk Scarf	Cats
20	Pauldrons	Males
21	Old Camisole	Females
22	Ancient Shirt	Unisex
23	Well-worn Scarf	Cats
24	Burntech	Males
25	Magic Camisole	Females
26	Lynx Camo Vest	Unisex
27	Cat Sweater	Cats
28	Old Blouse	Males
29	Retro Camisole	Females
30	Worn Chainmail	Unisex
31	Guard Bandana	Cats
32	Survival Vest	Males
33	Robust Apron	Females
34	Chain Vest	Unisex
35	Breeze Scarf	Cats
36	Okamoto Vest	Males
37	Courbet Apron	Females
38	Elegant Shirt	Unisex
39	Flowing Scarf	Cats
40	Cosmic Undies	Males
41	Lady's Dress	Females
42	Austere Haori	Unisex
43	E-Collar	Cats
44	Gaudy Undies	Males
45	Scream Dress	Females
46	Pollock Vest	Unisex
47	Renoir Scarf	Cats
48	Acrylic-coated Gear	Unisex
49	Paint-flecked Armor	Unisex
50	0x032	FLR
51	0x033	FLR
52	Athletic Shirt	Males
53	Power Camisole	Females
54	Army Vest	Unisex
55	Camo Collar	Cats
56	Nouveau Riche Shirt	Males
57	Sponge Camisole	Females
58	Gilded Vest	Unisex
59	Fancy Collar	Cats
60	Saint's Tunic	Males
61	Glaring Cape	Females
62	Reckless Vest	Unisex
63	Water Crown	Cats
64	Patron Undies	Males
65	Accountant Cape	Females
66	Bookkeeper Wrap	Unisex
67	Flexible Collar	Cats
68	Tarnished Gear	Unisex
69	Gold-tainted Armor	Unisex
70	0x046	FLR
71	0x047	FLR
72	Plate Vest	Males
73	Elysian Robe	Females
74	Papal Robes	Unisex
75	Id Collar	Cats
76	Vest of the Dead	Males
77	Rosetta Corset	Females
78	Pyramid Jacket	Unisex
79	Bandage Collar	Cats
80	Retention Vest	Males
81	Dogwatch Kimono	Females
82	Hope Shirt	Unisex
83	Sparkly Collar	Cats
84	Sand Gown	Males
85	Pyramid Shawl	Females
86	Royal Haori	Unisex
87	Magical Scarf	Cats
88	Dust-crusted Gear	Unisex
89	Timeworn Armor	Unisex
90	0x05A	FLR
91	0x05B	FLR
92	Gigas Vest	Males
93	Spiked Bra	Females
94	Brigandine	Unisex
95	Memorial Collar	Cats
96	UFO Vest	Males
97	Astro Bra	Females
98	Space Suit	Unisex
99	Quiet Collar	Cats
100	Mythril Vest	Males
101	Maillot	Females
102	Dieting Wrap	Unisex
103	Rubber Scarf	Cats
104	Moon Man Vest	Males
105	Zero-G Undies	Females
106	Akashic Shirt	Unisex
107	Solar Wind Scarf	Cats
108	Spyware-laden Gear	Unisex
109	Fragmented Armor	Unisex
110	0x06E	FLR
111	0x06F	FLR
112	Fluted Guard	Males
113	Rune Dress	Females
114	Ghillie Vest	Unisex
115	Measure Collar	Cats
116	Gambler Guard	Males
117	Tsubofuri Wrap	Females
118	Unyielding Vest	Unisex
119	Scam Collar	Cats
120	Brave Waistcoat	Males
121	Yama Dress	Females
122	Egoist Shirt	Unisex
123	Morose Collar	Cats
124	Lucky Waistcoat	Males
125	Gambler Dress	Females
126	Gambler Shirt	Unisex
127	Gambler Collar	Cats
128	Seedy Gear	Unisex
129	Smokestained Armor	Unisex
130	0x082	FLR
131	0x083	FLR
132	Kaiser Vest	Males
133	Kotodama Cape	Females
134	Life Jacket	Unisex
135	Killer Collar	Cats
136	Luxurious Vest	Males
137	Aristocrat Cape	Females
138	Magellan Robe	Unisex
139	Revelry Collar	Cats
140	Fireman Happi	Males
141	Mizuha Doumaru	Females
142	Best Vest	Unisex
143	Insomnia Collar	Cats
144	Captain's Vest	Males
145	Millionaire Doumaru	Females
146	Steel Chef Vest	Unisex
147	Gorgeous Collar	Cats
148	Corrupt Gear	Unisex
149	Classified Armor	Unisex
150	0x096	FLR
151	0x097	FLR
152	Karna's Robe	Males
153	Titanium Set	Females
154	Silver Vest	Unisex
155	Sublime Collar	Cats
156	Karna's Robe+	Males
157	Titanium Set+	Females
158	Silver Vest+	Unisex
159	Sublime Collar+	Cats
160	Demon's Jacket	Males
161	Haten Robe	Females
162	Soul Vest	Unisex
163	Nekomata Coat	Cats
164	Demon's Jacket+	Males
165	Haten Robe+	Females
166	Soul Vest+	Unisex
