id	name	tag
0	Blank	BLN
1	Handgun	UNK
2	Shotgun	UNK
3	Slingshot 1	UNK
4	Submachine Gun	UNK
5	Rifle 1	UNK
6	American Gun 1	UNK
7	Masaharu Gun 1	UNK
8	Aura Gun 1	UNK
9	Gun 009	UNK
10	Handgun	UNK
11	Gun 00B	UNK
12	Gun 00C	UNK
13	Rifle 2	UNK
14	Gun 014	UNK
15	Gun 015	UNK
16	Tkachev	Hero|DEF
17	Governance	Hero
18	Unmarked Pistol	UNK
19	Tkachev II	Hero
20	Tkachev HP	Hero
21	Makaronov	Hero
22	Makaronov II	Hero
23	Governance HP	Hero
24	Compact	Hero
25	Eliminator	Hero
26	Makaronov SP	Hero
27	Compact HP	Hero
28	Assassin	Hero
29	Assassin SP	Hero
30	Sand Hawk II	Hero
31	Model Gun	Hero
32	Levinson M31	Ryuji|DEF
33	Levinson M31 II	Ryuji
34	Granelli M3	Ryuji
35	Levinson M31 HP	Ryuji
36	Granelli M3 SP	Ryuji
37	Heavy Shotgun	Ryuji
38	Mad Maximum	Ryuji
39	Fireworks	Ryuji
40	Mad Maximum II	Ryuji
41	Heavy Shotgun II	Ryuji
42	Fireworks SP	Ryuji
43	Storm Shot	Ryuji
44	Pumpkin Bomb	Ryuji
45	Big Sleep	Ryuji
46	Masterkey	Ryuji
47	Orso Nero	Ryuji
48	Big Sleep SP	Ryuji
49	Storm Shot II	Ryuji
50	Fury SP	Ryuji
51	Bianchi SBAS II	Ryuji
52	Calamity Gun	Ryuji
53	Orso Nero SP	Ryuji
54	Volley Cannon II	Ryuji
55	Smithereens	Ryuji
56	Calamity Gun SP	Ryuji
57	Kiraihou II	Ryuji
58	Smithereens II	Ryuji
59	Unmarked Shotgun	UNK
60	Bianchi SBAS	Ryuji
61	Nock Volley	Ryuji
62	Hellfire	Ryuji
63	Nock Volley SP	Ryuji
64	Slingshot	Morgana|DEF
65	Unmarked Sling	UNK
66	Slingshot SP	Morgana
67	Slingshot HP	Morgana
68	Shrike	Morgana
69	Upsilon	Morgana
70	Slingbow II	Morgana
71	Comet 3	Morgana
72	Shrike SP	Morgana
73	Comet 3 II	Morgana
74	Spirit Sling	Morgana
75	Upsilon II	Morgana
76	Stronger	Morgana
77	Northern Light SP	Morgana
78	Intercept	Morgana
79	Stronger SP	Morgana
80	Spirit Sling HP	Morgana
81	Pirate Killer	Morgana
82	Mt. Liang SP	Morgana
83	Dreamstone	Morgana
84	Intercept II	Morgana
85	Sling Cannon	Morgana
86	Sling Cannon II	Morgana
87	Pirate Killer SP	Morgana
88	Utopia HP	Morgana
89	Dreamstone II	Morgana
90	Catnap	Morgana
91	Mount Liang	Morgana
92	Shrike II	Morgana
93	Northern Light	Morgana
94	Shooting Star	Morgana
95	Star Slayer	Morgana
96	Replica SMG	Ann|DEF
97	Tommy Gun	Ann
98	Unmarked SMG	UNK
99	Trooper	Ann
100	MP2 Prototype	Ann
101	Flare SMG	Ann
102	Blitz MG	Ann
103	Sterlidge II	Ann
104	Trooper SP	Ann
105	MP2 Prototype II	Ann
106	Civilian MP	Ann
107	Hyakka Ryouran	Ann
108	No Mercy	Ann
109	Civilian MP II	Ann
110	Western SMG	Ann
111	No Mercy II	Ann
112	Tarantula SP	Ann
113	MP Victoria	Ann
114	Antares	Ann
115	Hien Renhappou	Ann
116	Western SMG II	Ann
117	MP Victoria EP	Ann
118	Honoikazuchi	Ann
119	H. Renhappou HP	Ann
120	Phantom Killer II	Ann
121	Honoikazuchi SP	Ann
122	Sterlidge	Ann
123	Brain Shot	Ann
124	Tommy Gun II	Ann
125	Flare SMG II	Ann
126	Tarantula	Ann
127	Blitz MGSP	Ann
128	Replica AR	Yusuke|DEF
129	Black Assault	Yusuke
130	AR-M4	Yusuke
131	Heavy Assault	Yusuke
132	G1 Type	Yusuke
133	AR-M4 II	Yusuke
134	AR-M4 SP	Yusuke
135	Black Assault SP	Yusuke
