id	name	tag
320	D Square Menu	
2768	E Romance Makoto	
2769	E Romance Haru	
2770	E Romance Ann	
2771	E Romance Futaba	
2772	E Romance Chihaya	
2773	E Romance Takemi	
2774	E Romance Kawakami	
2775	E Romance Ohya	
2776	E Romance Hifumi	
4099	E Go To Bed	
4114	E Follow Ryuji	
4115	E Follow Morgana	
4116	E Follow Ann	
4117	E Follow Yusuke	
4118	E Follow Makoto	
4119	E Follow Haru	
4120	E Follow Futaba	
4121	E Follow Akechi	
8204	E Navi Morgana	
8205	E Navi Futaba	
8453	D Triangle Menu	
8496	E Party Ryuji	
8497	E Party Morgana	
8498	E Party Ann	
8499	E Party Yusuke	
8500	E Party Makoto	
8501	E Party Haru	
8502	E Party Futaba	
8503	E Party Akechi	
8724	E Main Menu Slap SE	
