id	line
1	You're surrounded! Three enemies!
2	Watch out! Strong enemies, and they've got you surrounded!
3	You're surrounded by weaklings! What, did they sneak up on you?
4	Ugh... We don't have time for this!
5	Four Shadows, and they've got the drop on you!
6	They ambushed us! It's four tough enemies!
7	Four enemies! You're surrounded, but they're pretty weak!
8	Just get around them! Gah, you're surrounded!
9	You're cornered... Just try to survive, OK?
10	There are five strong ones around you! We need some kinda miracle!
11	Don't worry! You're surrounded, but they're all kinda pathetic.
12	Awww, how'd this happen!? We don't have time for a big brawl!
13	Now's our chance! Beat 'em up!
14	We've got them surrounded. Now whoop 'em!
15	Surprise attack: successful! Now just don't lose.
16	You've got them surrounded! Now smash 'em!
17	We've got the advantage! Don't rush this!
18	We've rounded them up! Now take 'em out!
19	As long as we got them surrounded, we might as well beat them!
20	You know, you could always run!
21	This chump is down! Let's get 'em!
22	Scatter them!
23	Finish 'em off!
24	Whoa, this Shadow looks strong!
25	Is that a rare one!? Don't let it get away!
26	One enemy! Everyone do your best!
27	It's strong, but there's just one! Don't get sloppy now!
28	One enemy, and it's weak! This'll be a slaughter!
29	Just one enemy. Beat it and move on!
30	Two foes. You can take this nice and easy.
31	Two enemies! They're strong, so watch out!
32	Enemies! Don't worry, though. They're no big deal.
33	Two enemies! We can't waste time on these guys!
34	There's three Shadows. Good luck!
35	Three enemies, and they're all pretty strong. Be careful!
36	Three enemies. They're weak, but don't let your guard down!
37	We don't have time to fight three whole enemies! What do we do!?
38	Four enemies! There's a lot of 'em... C'mon, do something!
39	Four enemies, and they're strong! This really sucks...!
40	Four enemies! They're pretty pathetic, but stay on guard!
41	There's four enemies. You should probably just run!
42	Five enemies! You guys are outnumbered. Be careful!
43	Five strong Shadows... Brace yourselves, guys!
44	Five Shadows! They're weak, but don't relax yet!
45	Five of them!? We don't have time for this!
46	Do they have some treasure?
47	Hiding something from us?
48	Hrm! I smell treasure...
49	We've got casualties! This is bad!
50	Joker!? No... Answer me!
51	No...! Hey, Joker! Joker... you have to wake up...!
52	Joker, why!? This isn't happening...
53	Skull's out! Someone help him!
54	Mona got knocked out! Someone give him some support!
55	Panther's down! She needs treatment!
56	Fox got taken out! Medic!
57	Queen's been taken out! You gotta cover for her!
58	Noir's been defeated! Can someone heal her?
59	Crow's down! We need backup here!
60	No! Come on, wake up!
61	Everyone, are you OK? Focus on healing up!
62	Joker, are you all right!?
63	Skull's in trouble!
64	Mona's health is low!
65	Watch Panther's health!
66	Fox is swaying!
67	Queen's in danger!
68	Noir doesn't have much health left!
69	Crow's life is in danger!
70	Your health is low! Watch out!
71	J-Just hold on and push through! We can come back from this!
72	Joker got knocked down!
73	Skull fell down! Hang in there!
74	Mona's down! Ooohh, not good!
75	Panther's on the ground! Are you OK?
76	Fox got knocked down! Come on, stay together!
77	Queen's on the ground! You can't fail now!
78	Noir! Are you OK?
79	Crow got knocked down! He needs cover!
80	Ah, you got knocked down!
81	Whoooaaa... That was awesome!
82	Nice, Joker! Just at the last second!
83	Skull's pretty good!
84	That was awesome, Mona!
85	And Panther dodges with grace!
86	Nice moves, Fox!
87	All right, Queen!
88	Noir dodged the enemy's attack!
89	Crow's got some moves!
90	Ooh, nice dodge!
91	An enemy ran off! Four left!
92	Enemy escaped! Three remaining!
93	Ooh, an enemy ditched! That leaves two!
94	One enemy ran, so that leaves just one!
95	They ran away... and then there were none!
96	Joker, your attack's down!
97	Skull, your attack has dropped!
98	Mona's offense has been lowered!
99	Panther, your attack power's lowered!
100	Fox, your offense is down!
101	Queen, your attack's been lowered!
102	Noir, your offense's been decreased!
103	Crow's offense is lowered!
104	Your attack's lowered!
105	Joker, your defense's decreased!
106	Skull's defense is down!
107	Mona's defense has dropped!
108	Panther, your defense has dropped!
109	Fox, your defense's been lowered!
110	Queen, your defense's been lowered!
111	Noir, you have lower defense right now!
112	Crow's defense is low right now!
113	Your defense has dropped! Be careful!
114	Joker's speed has been lowered!
115	Uh-oh! Skull's agility is down!
116	Mona, your speed is lowered!
117	Your speed's decreased, Panther!
118	Fox's speed has dropped!
119	Queen, your agility's been lowered!
120	Noir! Don't forget your  speed's been lowered!
121	Crow's agility is currently down!
122	Noir, don't forget your speed's been lowered!
123	Five left! Take'em down one at a time!
124	Five enemies! They still outnumber us...!
125	Four remaining! Hang in there!
126	There's four enemies left! Stand your ground!
127	Three enemies remaining! You can do it!
128	There's still three enemies. Keep it up!
129	Two enemies left. Don't mess this up!
130	That makes two! Don't lose!
131	One enemy remaining! Just a little more!
132	Last one! Get 'em!
133	Everyone's health is really low! Can someone heal!?
134	Joker, your health is low! Watch out!
135	Skull, are you OK? Keep an eye on your health.
136	Mona's in trouble! He's hurt bad!
137	Panther's in bad shape! Watch out!
138	Fox's health is really low! You have to be careful!
139	Queen's in trouble! It looks bad!
140	Ah! Noir's health! She needs help!
141	Crow doesn't have much health left! Someone heal him!
142	Your health is dangerously low! Hurry up and heal!
143	Joker's burning! That's going to keep hurting!
144	Skull's on fire! Don't move around or you'll make it worse!
145	Mona's burning! Put it out, or it'll keep hurting him!
146	Panther's on fire! Hurry up and put it out!
147	Fox is on fire! The flames are wearing him down!
148	Queen's burning! W-We gotta put it out!
149	Noir's on fire! She can't take much more of this!
150	Crow's burning! He'll lose health!
151	You're burning! The pain's going to keep coming!
152	Joker's frozen! Someone help him, or he can't move!
153	Skull's on ice! He can't move!
154	Mona's frozen! He can't move!
155	Panther's frozen! She won't be able to move!
156	Fox is frozen solid! He can't make any moves!
157	Queen's on ice! This isn't good... She can't move!
