id	name	tag
18	Joker Model	
19	Follower 1 Model	
20	Follower 2 Model	
21	Follower 3 Model	
22	Joker Model Static Pose	
46	Batting Hits	
47	Batting Home Runs	
50	Skill Card To Dupe	
65	Training In Room Count	
68	Curry Secrets	
69	Coffee Facts	
72	Coffee Brewing	
73	Curry Making	
75	Training In Gym Count	
76	Crosswords Solved	
83	Crane Game Attempts	
90	Fishing Points	
91	Fish Caught Count	
99	Aojiru Drink	
131	Palace Security Level	
162	Casino Points	
176	Ambush Count	
177	Enemy Defeat Count	
186	Weakness Exploit Count	
