id	name	tag
0	BLANK	BLN
1	RESERVE	FLR
2	RESERVE	FLR
3	RESERVE	FLR
4	RESERVE	FLR
5	RESERVE	FLR
6	RESERVE	FLR
7	RESERVE	FLR
8	RESERVE	FLR
9	RESERVE	FLR
10	RESERVE	FLR
11	RESERVE	FLR
12	RESERVE	FLR
13	RESERVE	FLR
14	RESERVE	FLR
15	RESERVE	FLR
16	RESERVE	FLR
17	RESERVE	FLR
18	RESERVE	FLR
19	RESERVE	FLR
20	RESERVE	FLR
21	RESERVE	FLR
22	RESERVE	FLR
23	RESERVE	FLR
24	RESERVE	FLR
25	RESERVE	FLR
26	RESERVE	FLR
27	RESERVE	FLR
28	Commuter Pass	
29	Cigarettes	
30	Key to Leblanc	
31	Paper Bag	
32	2nd Mate ID	
33	1st Mate ID	
34	Captain ID	
35	Old Key	
36	RESERVE	FLR
37	RESERVE	FLR
38	RESERVE	FLR
39	RESERVE	FLR
40	RESERVE	FLR
41	RESERVE	FLR
42	RESERVE	FLR
43	RESERVE	FLR
44	RESERVE	FLR
45	RESERVE	FLR
46	RESERVE	FLR
47	RESERVE	FLR
48	Evil Snow Crystal	
49	Sticky Hairball	
50	Double Bookmark	
51	RESERVE	FLR
52	Pen Case	
53	Muffler	
54	Cologne	
55	Camera	
56	Gloves	
57	Wristwatch	
58	Hat	
59	Earmuffs	
60	Headphones	
61	RESERVE	FLR
62	Buchi Calculator	
63	Dyed Handkerchief	
64	Fashion Magazine	
65	Promise List	
66	Unlimited Service	
67	Dog Tag	
68	Fortune Tarot Card	
69	Interview Notes	
70	Kosha Piece	
71	Sports Watch	
72	Morgana's Scarf	
73	Recipe Notes	
74	Documentary Plans	
75	Gecko Pin	
76	Cell Key	
77	Desire and Hope	
78	Fountain Pen	
79	Gun Controller	
80	Business Card	
81	RESERVE	FLR
82	RESERVE	FLR
83	RESERVE	FLR
84	RESERVE	FLR
85	RESERVE	FLR
86	RESERVE	FLR
87	RESERVE	FLR
88	RESERVE	FLR
89	RESERVE	FLR
90	RESERVE	FLR
91	RESERVE	FLR
92	RESERVE	FLR
93	RESERVE	FLR
94	RESERVE	FLR
95	RESERVE	FLR
96	RESERVE	FLR
97	RESERVE	FLR
98	RESERVE	FLR
99	RESERVE	FLR
100	RESERVE	FLR
101	RESERVE	FLR
102	Castle Map	
103	Tower Map	
104	RESERVE	FLR
105	Kamoshida's Medal	
106	RESERVE	FLR
107	RESERVE	FLR
108	RESERVE	FLR
109	RESERVE	FLR
