id	name	tag
0	Blank	BLN
1	Devil Fruit	
2	Recov-R: 50 mg	
3	Recov-R: 100 mg	
4	Takemedic	
5	Life Stone	
6	Bead	
7	Takemedic-All	
8	Takemedic-All V	
9	Takemedic-All Z	
10	Bead Chain	
11	Soul Drop	
12	Snuff Soul	
13	Chewing Soul	
14	Soul Food	
15	Revival Bead	
16	Balm of Life	
17	RESERVE	FLR
18	Nohar-M	
19	Relax Gel	
20	Alert Capsule	
21	RESERVE	FLR
22	RESERVE	FLR
23	Vanish Ball	
24	Soma	
25	Amrita Soda	
26	Hiranya	
27	Muscle Drink	
28	Odd Morsel	
29	Rancid Gravy	
30	RESERVE	FLR
31	Magic Ointment	
32	Physical Ointment	
33	Rasetsu Ofuda	
34	Idaten Ofuda	
35	Kongou Ofuda	
36	Kajaclear-R	
37	Kundaclear-R	
38	Molotov Cocktail	
39	Blowtorch	
40	Freeze Spray	
41	Dry Ice	
42	Air Cannon	
43	Vacuum Cutter	
44	Stun Gun	
45	Tesla Coil	
46	Megido Bomb	
47	Sacramental Bread	
48	Straw Doll	
49	Hell Magatama	
50	Cyclone Magatama	
51	Frost Magatama	
52	Arc Magatama	
53	Psycho Bomb	
54	Zener Cards	
55	Atom Match	
56	Kagutsuchi Orb	
57	Happy Bomb	
58	Segaki Rice	
59	Curse Bomb	
60	Five-inch Nail	
61	Revivadrin	
62	Medicine	
63	Life Ointment	
64	Homunculus	
65	RESERVE	FLR
66	Reviv-All	
67	Renew-All	
68	Recover Oil	
69	RESERVE	FLR
70	DVD Player	
71	Garden Energy	
72	Bio Nutrients	
73	Mega Fertilizer	
74	Psy Magatama	
75	Nuclear Magatama	
76	Bless Magatama	
77	Curse Magatama	
78	RESERVE	FLR
79	RESERVE	FLR
80	PC Tool Set	
81	RESERVE	FLR
82	Glass Vase	
83	Star Mirror	
84	Snack Pack	
85	Musty Pages	
86	Homemaker Hero	
87	Heart Ring	
88	Heart Necklace	
89	Designer Perfume	
90	Incense Set	
91	Mini Cactus	
92	Flower Basket	
93	Rose Bouquet	
94	Black Mug	
95	Sakura Fan	
96	Fountain Pen	
97	Robot Vacuum	
98	Motorbike Figure	
99	Local Mascot Set	
100	Spotlight	
101	Goho-M	
102	RESERVE	FLR
103	Smokescreen	
104	RESERVE	FLR
105	Hypno Mist	
106	Stealthanol	
107	Covertizer	
108	RESERVE	FLR
109	Silk Yarn	
110	Thick Parchment	
111	Tin Clasp	
112	Plant Balm	
113	Cork Bark	
114	Iron Sand	
