id	name	tag
0	Starter Clothes	BLN
1	Shujin Uniform	All
2	Phantom Suit	Hero DEF
3	Pirate Armor	Ryuji DEF
4	Morgana Classic	Morgana DEF
5	Red Latex Suit	Ann DEF
6	Outlaw's Attire	Yusuke DEF
7	Metal Rider	Makoto DEF
8	Musketeer Suit	Haru DEF
9	Cyber Gear	Futaba DEF
10	Prince Suit	Akechi DEF
11	Summer Uniform	Hero
12	Summer Uniform	Ryuji
13	Summer Uniform	None
14	Summer Uniform	Ann
15	Summer Uniform	Yusuke
16	Summer Uniform	Makoto
17	Summer Uniform	Haru
18	Summer Uniform	None
19	Summer Uniform	Akechi
20	Winter Uniform	Hero
21	Winter Uniform	Ryuji
22	Winter Uniform	None
23	Winter Uniform	Ann
24	Winter Uniform	Yusuke
25	Winter Uniform	Makoto
26	Winter Uniform	Haru
27	Winter Uniform	None
28	Winter Uniform	Akechi
29	Summer Clothes	Hero
30	Summer Clothes	Ryuji
31	Summer Clothes	None
32	Summer Clothes	Ann
33	Summer Clothes	Yusuke
34	Summer Clothes	Makoto
35	Summer Clothes	Haru
36	Summer Clothes	Futaba
37	Summer Clothes	None
38	Winter Clothes	Hero
39	Winter Clothes	Ryuji
40	Winter Clothes	None
41	Winter Clothes	Ann
42	Winter Clothes	Yusuke
43	Winter Clothes	Makoto
44	Winter Clothes	Haru
45	Winter Clothes	Futaba
46	Winter Clothes	Akechi
47	Tracksuit	Hero
48	Tracksuit	Ryuji
49	Tracksuit	None
50	Tracksuit	Ann
51	Tracksuit	None
52	Tracksuit	Makoto
53	Tracksuit	Haru
54	Tracksuit	None
55	Tracksuit	None
56	Swimsuit	Hero
57	Swimsuit	Ryuji
58	Swimsuit	None
59	Swimsuit	Ann
60	Swimsuit	Yusuke
61	Swimsuit	Makoto
62	Swimsuit	Haru
63	Swimsuit	Futaba
64	Swimsuit	None
65	Loungewear	Hero
66	Loungewear	None
67	Loungewear	None
68	Loungewear	None
69	Loungewear	None
70	Loungewear	None
71	Loungewear	None
72	Loungewear	Futaba
73	Loungewear	None
74	Gekkoukan High	Hero
75	Gekkoukan High	Ryuji
76	Aigis Costume	Morgana
77	Gekkoukan High	Ann
78	Gekkoukan High	Yusuke
79	Gekkoukan High	Makoto
80	Gekkoukan High	Haru
81	Gekkoukan High	Futaba
82	Gekkoukan High	Akechi
83	Yasogami High	Hero
84	Yasogami High	Ryuji
85	Teddie Costume	Morgana
86	Yasogami High	Ann
87	Yasogami High	Yusuke
88	Yasogami High	Makoto
89	Yasogami High	Haru
90	Yasogami High	Futaba
91	Yasogami High	Akechi
92	St. Hermelin High	Hero
93	St. Hermelin High	Ryuji
94	Trish Costume v1	Morgana
95	St. Hermelin High	Ann
96	St. Hermelin High	Yusuke
97	St. Hermelin High	Makoto
98	St. Hermelin High	Haru
99	St. Hermelin High	Futaba
100	St. Hermelin High	Akechi
101	Seven Sisters High	Hero
102	Seven Sisters High	Ryuji
103	Trish Costume v2	Morgana
104	Seven Sisters High	Ann
105	Seven Sisters High	Yusuke
106	Seven Sisters High	Makoto
107	Seven Sisters High	Haru
108	Seven Sisters High	Futaba
109	Kasugayama High	Akechi
110	Vincent's Outfit	Hero
111	Orlando's Fashion	Ryuji
112	Stray Sheep Suit	Morgana
113	Catherine's Cami	Ann
114	Johnny's Coat	Yusuke
115	Katherine's Outfit	Makoto
116	Erica's Uniform	Haru
117	Toby's Overalls	Futaba
118	Boss's Suit	Akechi
119	Karukozaka High	Hero
120	Karukozaka High	Ryuji
121	Karukozaka High	Morgana
122	Karukozaka High	Ann
123	Karukozaka High	Yusuke
124	Karukozaka High	Makoto
125	Karukozaka High	Haru
126	Karukozaka High	Futaba
127	Hazama's Uniform	Akechi
128	Butler Suit	Hero
129	Butler Suit	Ryuji
130	Maid Uniform	Morgana
131	Maid Uniform	Ann
132	Butler Suit	Yusuke
133	Maid Uniform	Makoto
134	Maid Uniform	Haru
135	Maid Uniform	Futaba
136	Butler Suit	Akechi
137	Christmas Outfit	Hero
138	Christmas Outfit	Ryuji
139	Christmas Outfit	Morgana
140	Christmas Outfit	Ann
141	Christmas Outfit	Yusuke
142	Christmas Outfit	Makoto
143	Christmas Outfit	Haru
144	Christmas Outfit	Futaba
145	Christmas Outfit	Akechi
146	Dancewear	Hero
147	Dancewear	Ryuji
148	Dancewear	Morgana
149	Dancewear	Ann
150	Dancewear	Yusuke
151	Dancewear	Makoto
152	Dancewear	Haru
153	Dancewear	Futaba
154	Dancewear	Akechi
155	Shadow Ops Uniform	Hero
156	Shadow Ops Uniform	Ryuji
157	Shadow Ops Uniform	Morgana
158	Shadow Ops Uniform	Ann
159	Shadow Ops Uniform	Yusuke
160	Shadow Ops Uniform	Makoto
161	Shadow Ops Uniform	Haru
162	Shadow Ops Uniform	Futaba
163	Shadow Ops Uniform	Akechi
164	Samurai Garb	Hero
165	Samurai Garb	Ryuji
166	Burroughs Costume	Morgana
167	Samurai Garb	Ann
168	Samurai Garb	Yusuke
169	Samurai Garb	Makoto
170	Samurai Garb	Haru
171	Samurai Garb	Futaba
172	Samurai Garb	Akechi
173	Student Uniform	Hero
174	Student Uniform	Ryuji
175	Gouto Costume	Morgana
176	Ouran High	Ann
177	Student Uniform	Yusuke
178	Ouran High	Makoto
179	Ouran High	Haru
180	Ouran High	Futaba
181	Imperial Uniform	Akechi
