id	name	tag
0	Attack	BLN
1	BLANK	FLR
2	BLANK	FLR
3	BLANK	FLR
4	BLANK	FLR
5	BLANK	FLR
6	BLANK	FLR
7	BLANK	FLR
8	BLANK	FLR
9	BLANK	FLR
10	Agi	VAL
11	Agilao	VAL
12	Agidyne	VAL
13	Maragi	VAL
14	Maragion	VAL
15	Maragidyne	VAL
16	Agi	DUP
17	Maragi	DUP
18	BLANK	FLR
19	BLANK	FLR
20	Bufu	VAL
21	Bufula	VAL
22	Bufudyne	VAL
23	Mabufu	VAL
24	Mabufula	VAL
25	Mabufudyne	VAL
26	Bufu	DUP
27	Mabufu	DUP
28	BLANK	FLR
29	BLANK	FLR
30	Garu	VAL
31	Garula	VAL
32	Garudyne	VAL
33	Magaru	VAL
34	Magarula	VAL
35	Magarudyne	VAL
36	Garu	DUP
37	BLANK	FLR
38	BLANK	FLR
39	BLANK	FLR
40	Zio	VAL
41	Zionga	VAL
42	Ziodyne	VAL
43	Mazio	VAL
44	Mazionga	VAL
45	Maziodyne	VAL
46	Zio	DUP
47	Mazio	DUP
48	BLANK	FLR
49	BLANK	FLR
50	Hama	VAL
51	Hamaon	VAL
52	Mahama	VAL
53	Mahamaon	VAL
54	Kouha	VAL
55	Kouga	VAL
56	Kougaon	VAL
57	Makouha	VAL
58	Makouga	VAL
59	Makougaon	VAL
60	Mudo	VAL
61	Mudoon	VAL
62	Mamudo	VAL
63	Mamudoon	VAL
64	Eiha	VAL
65	Eiga	VAL
66	Eigaon	VAL
67	Maeiha	VAL
68	Maeiga	VAL
69	Maeigaon	VAL
70	Megido	VAL
71	Megidola	VAL
72	Megidolaon	VAL
73	Frei	VAL
74	Freila	VAL
75	Freidyne	VAL
76	Mafrei	VAL
77	Mafreila	VAL
78	Mafreidyne	VAL
79	BLANK	FLR
80	Dazzler	VAL
81	Nocturnal Flash	VAL
82	Pulinpa	VAL
83	Tentarafoo	VAL
84	Evil Touch	VAL
85	Evil Smile	VAL
86	Makajama	VAL
87	Makajamaon	VAL
88	Famine's Breath	INV
89	Famine's Scream	INV
90	Dormina	VAL
91	Lullaby	VAL
92	Taunt	VAL
93	Wage War	VAL
94	Ominous Words	VAL
95	Abysmal Surge	VAL
96	Marin Karin	VAL
97	Brain Jack	VAL
98	Trapped Rat	INV
99	BLANK	FLR
100	Self-destruct	INV
101	Self-destruct	DUP
102	Self-destruct	DUP
103	Life Drain	VAL
104	Spirit Drain	VAL
105	Life Leech	INV
106	Spirit Leech	INV
107	Spirit Drain	DUP
108	BLANK	FLR
109	BLANK	FLR
110	Foul Breath	VAL
111	Stagnant Air	VAL
112	Reverse Rub	INV
113	Ghastly Wail	VAL
114	BLANK	FLR
115	BLANK	FLR
116	BLANK	FLR
117	BLANK	FLR
118	BLANK	FLR
119	BLANK	FLR
120	Inferno	VAL
121	Blazing Hell	VAL
122	Low Burn	INV
123	Mid Burn	INV
124	High Burn	INV
125	Low Freeze	INV
126	Mid Freeze	INV
127	High Freeze	INV
128	Low Shock	INV
129	Mid Shock	INV
130	Diamond Dust	VAL
131	Ice Age	VAL
132	High Shock	INV
133	Low Dizzy	INV
134	Mid Dizzy	INV
135	High Dizzy	INV
136	Low Confuse	INV
137	Mid Confuse	INV
138	High Confuse	INV
139	Low Fear	INV
140	Panta Rhei	VAL
141	Vacuum Wave	VAL
142	Mid Fear	INV
143	High Fear	INV
144	Low Forget	INV
145	Mid Forget	INV
146	High Forget	INV
147	Low Brainwash	INV
148	Mid Brainwash	INV
149	High Brainwash	INV
150	Thunder Reign	VAL
151	Wild Thunder	VAL
152	Low Sleep	INV
153	Mid Sleep	INV
154	High Sleep	INV
155	Low Rage	INV
156	Mid Rage	INV
157	High Rage	INV
158	Low Despair	INV
159	Mid Despair	INV
160	Divine Judgment	VAL
161	Samsara	VAL|Daisoujou
162	High Despair	INV
163	Low All Ail	INV
164	Mid All Ail	INV
165	High All Ail	INV
166	BLANK	FLR
167	BLANK	FLR
168	BLANK	FLR
169	BLANK	FLR
170	Demonic Decree	VAL
171	Die For Me!	VAL|Alice
172	BLANK	FLR
173	BLANK	FLR
174	BLANK	FLR
175	BLANK	FLR
176	Atomic Flare	VAL
177	Cosmic Flare	VAL
178	BLANK	FLR
179	BLANK	FLR
180	Black Viper	VAL
181	Morning Star	VAL|Lucifer
182	BLANK	FLR
183	BLANK	FLR
184	BLANK	FLR
185	BLANK	FLR
186	BLANK	FLR
187	BLANK	FLR
188	BLANK	FLR
189	BLANK	FLR
190	Psi	VAL
191	Psio	VAL
192	Psiodyne	VAL
193	Mapsi	VAL
194	Mapsio	VAL
195	Mapsiodyne	VAL
196	BLANK	FLR
197	Psycho Force	VAL
198	Psycho Blast	VAL
199	BLANK	FLR
200	Lunge	VAL
201	Assault Dive	VAL
202	Megaton Raid	VAL
203	God's Hand	VAL
204	Lunge	DUP
205	Lucky Punch	VAL
206	Miracle Punch	VAL
207	BLANK	FLR
208	BLANK	FLR
209	BLANK	FLR
210	Cleave	VAL
211	Giant Slice	VAL
212	Brave Blade	VAL
213	Sword Dance	VAL
214	BLANK	FLR
215	Hassou Tobi	VAL|Yoshitsune
216	Ayamur	VAL|Baal
217	BLANK	FLR
218	BLANK	FLR
219	BLANK	FLR
220	Cornered Fang	VAL
221	Rising Slash	VAL
222	Deadly Fury	VAL
223	BLANK	FLR
224	Snap	VAL
225	Triple Down	VAL
226	One-shot Kill	VAL
227	Riot Gun	VAL
228	BLANK	FLR
229	BLANK	FLR
230	Vajra Blast	VAL
231	Vorpal Blade	VAL
232	BLANK	FLR
233	BLANK	FLR
234	BLANK	FLR
235	Vicious Strike	VAL
236	Heat Wave	VAL
237	Gigantomachia	VAL
238	BLANK	FLR
239	BLANK	FLR
240	BLANK	FLR
241	Rampage	VAL
242	Swift Strike	VAL
243	Deathbound	VAL
244	Agneyastra	VAL
245	BLANK	FLR
246	BLANK	FLR
247	Rising Slash	DUP
248	Deadly Fury	DUP
249	BLANK	FLR
250	Double Fangs	VAL
251	BLANK	FLR
252	BLANK	FLR
253	Tempest Slash	VAL
254	Myriad Slashes	VAL
255	BLANK	FLR
256	BLANK	FLR
257	BLANK	FLR
258	BLANK	FLR
259	BLANK	FLR
260	Sledgehammer	VAL
261	Skull Cracker	VAL
262	Terror Claw	VAL
263	Headbutt	VAL
264	Stomach Blow	INV
265	Dream Needle	VAL
266	Hysterical Slap	VAL
267	Negative Pile	VAL
268	Brain Shake	VAL
269	BLANK	FLR
270	Flash Bomb	VAL
271	Mind Slice	VAL
272	Bloodbath	VAL
273	Memory Blow	VAL
274	Insatiable Strike	INV
275	Dormin Rush	VAL
276	Oni-Kagura	VAL
277	Bad Beat	VAL
278	Brain Buster	VAL
279	BLANK	FLR
280	Handgun	INV
281	Shotgun	INV
282	Slingshot	INV
283	Machine Gun	INV
284	Assault Rifle	INV
285	Revolver	INV
286	Grenade Launcher	INV
287	Laser Gun	INV
288	BLANK	FLR
289	BLANK	FLR
290	BLANK	FLR
291	BLANK	FLR
292	BLANK	FLR
293	BLANK	FLR
294	BLANK	FLR
295	BLANK	FLR
296	BLANK	FLR
297	BLANK	FLR
298	BLANK	FLR
299	Attack	DUP
300	Dia	VAL
301	Diarama	VAL
302	Diarahan	VAL
303	BLANK	FLR
304	BLANK	FLR
305	Media	VAL
306	Mediarama	VAL
307	Mediarahan	VAL
308	BLANK	FLR
309	BLANK	FLR
310	Recarm	VAL
311	Samarecarm	VAL
312	Recarmdra	INV
313	BLANK	FLR
314	BLANK	FLR
315	Amrita Drop	VAL
316	Amrita Shower	VAL
317	BLANK	FLR
318	Salvation	VAL
319	BLANK	FLR
320	BLANK	FLR
321	BLANK	FLR
322	BLANK	FLR
323	BLANK	FLR
324	BLANK	FLR
325	Patra	VAL
326	BLANK	FLR
327	Energy Shower	VAL
328	Energy Drop	VAL
329	Baisudi	VAL
330	Me Patra	VAL
331	Mabaisudi	VAL
332	BLANK	FLR
333	BLANK	FLR
334	BLANK	FLR
335	Tarukaja	VAL
336	Rakukaja	VAL
337	Sukukaja	VAL
338	Heat Riser	VAL
339	BLANK	FLR
340	Matarukaja	VAL
341	Marakukaja	VAL
342	Masukukaja	VAL
343	Thermopylae	VAL
344	BLANK	FLR
345	Tarunda	VAL
346	Rakunda	VAL
347	Sukunda	VAL
348	Debilitate	VAL
349	BLANK	FLR
350	Matarunda	VAL
351	Marakunda	VAL
352	Masukunda	VAL
353	BLANK	FLR
354	BLANK	FLR
355	Dekunda	VAL
356	Dekaja	VAL
357	BLANK	FLR
358	BLANK	FLR
359	BLANK	FLR
360	Charge	VAL
361	Concentrate	VAL
362	BLANK	FLR
363	BLANK	FLR
364	BLANK	FLR
365	Rebellion	VAL
366	Revolution	VAL
367	BLANK	FLR
368	BLANK	FLR
369	BLANK	FLR
370	Tetrakarn	VAL
371	Makarakarn	VAL
372	Tetraja	VAL
373	BLANK	FLR
374	BLANK	FLR
375	Tetra Break	VAL
376	Makara Break	VAL
377	BLANK	FLR
378	BLANK	FLR
379	BLANK	FLR
380	Fire Wall	VAL
381	Ice Wall	VAL
382	Elec Wall	VAL
383	Wind Wall	VAL
384	BLANK	FLR
385	Fire Break	VAL
386	Ice Break	VAL
387	Wind Break	VAL
388	Elec Break	VAL
389	BLANK	FLR
390	Trafuri	INV
391	Traesto	INV
392	BLANK	FLR
393	Nuke Wall	VAL
394	Psy Wall	VAL
395	Nuke Break	VAL
396	Psy Break	VAL
397	BLANK	FLR
398	BLANK	FLR
399	BLANK	FLR
400	All-out Lv 1	INV
401	All-out Lv 2	INV
402	All-out Lv 3	INV
403	Emergency Escape	INV
404	Attack	DUP
405	Down Shot	INV
406	Summon	INV
407	Call for Backup	INV
408	Outlaw Attack	INV
409	Barrage	INV
410	Follow Crush	INV
411	Follow Claw	INV
412	Follow Whip	INV
413	Follow Blade	INV
414	Follow Knuckle	INV
415	Follow Axe	INV
416	Follow Saber	INV
417	Dispose Item	INV
418	Heal Enemy	INV
419	Death (Despair)	INV
420	Ally1 Follow-Up	INV
421	Ally2 Follow-Up	INV
422	Ally3 Follow-Up	INV
423	Ally4 Follow-Up	INV
424	Ally5 Follow-Up	INV
425	Ally6 Follow-Up	INV
426	Ally7 Follow-Up	INV
427	Power Up Enemy	INV
428	Power Up Enemy	DUP
429	Power Up Enemy	DUP
430	Steal Info	INV
431	Sup Matarukaja	INV
432	Sup Marakukaja	INV
433	Sup Masukukaja	INV
434	Sup All Kaja	INV
435	Sup Charge	INV
436	Sup HP +30%	INV
437	Sup SP +10%	INV
438	Sup Escape Route	INV
