id	name	tag
0	Attack	BLN
1	BLANK	FLR
2	BLANK	FLR
3	BLANK	FLR
4	BLANK	FLR
5	BLANK	FLR
6	BLANK	FLR
7	BLANK	FLR
8	BLANK	FLR
9	BLANK	FLR
10	Agi	LRN
11	Agilao	LRN
12	Agidyne	LRN
13	Maragi	LRN
14	Maragion	LRN
15	Maragidyne	LRN
16	Agi	
17	Maragi	
18	BLANK	FLR
19	BLANK	FLR
20	Bufu	LRN
21	Bufula	LRN
22	Bufudyne	LRN
23	Mabufu	LRN
24	Mabufula	LRN
25	Mabufudyne	LRN
26	Bufu	
27	Mabufu	
28	BLANK	FLR
29	BLANK	FLR
30	Garu	LRN
31	Garula	LRN
32	Garudyne	LRN
33	Magaru	LRN
34	Magarula	LRN
35	Magarudyne	LRN
36	Garu	
37	BLANK	FLR
38	BLANK	FLR
39	BLANK	FLR
40	Zio	LRN
41	Zionga	LRN
42	Ziodyne	LRN
43	Mazio	LRN
44	Mazionga	LRN
45	Maziodyne	LRN
46	Zio	
47	Mazio	
48	BLANK	FLR
49	BLANK	FLR
50	Hama	LRN
51	Hamaon	LRN
52	Mahama	LRN
53	Mahamaon	LRN
54	Kouha	LRN
55	Kouga	LRN
56	Kougaon	LRN
57	Makouha	LRN
58	Makouga	LRN
59	Makougaon	LRN
60	Mudo	LRN
61	Mudoon	LRN
62	Mamudo	LRN
63	Mamudoon	LRN
64	Eiha	LRN
65	Eiga	LRN
66	Eigaon	LRN
67	Maeiha	LRN
68	Maeiga	LRN
69	Maeigaon	LRN
70	Megido	LRN
71	Megidola	LRN
72	Megidolaon	LRN
73	Frei	LRN
74	Freila	LRN
75	Freidyne	LRN
76	Mafrei	LRN
77	Mafreila	LRN
78	Mafreidyne	LRN
79	BLANK	FLR
80	Dazzler	LRN
81	Nocturnal Flash	LRN
82	Pulinpa	LRN
83	Tentarafoo	LRN
84	Evil Touch	LRN
85	Evil Smile	LRN
86	Makajama	LRN
87	Makajamaon	LRN
88	Famine's Breath	
89	Famine's Scream	
90	Dormina	LRN
91	Lullaby	LRN
92	Taunt	LRN
93	Wage War	LRN
94	Ominous Words	LRN
95	Abysmal Surge	LRN
96	Marin Karin	LRN
97	Brain Jack	LRN
98	Trapped Rat	
99	BLANK	FLR
100	Self-destruct	
101	Self-destruct	
102	Self-destruct	
103	Life Drain	LRN
104	Spirit Drain	LRN
105	Life Leech	
106	Spirit Leech	
107	Spirit Drain	
108	BLANK	FLR
109	BLANK	FLR
110	Foul Breath	LRN
111	Stagnant Air	LRN
112	Reverse Rub	
113	Ghastly Wail	LRN
114	BLANK	FLR
115	BLANK	FLR
116	BLANK	FLR
117	BLANK	FLR
118	BLANK	FLR
119	BLANK	FLR
120	Inferno	LRN
121	Blazing Hell	LRN
122	Low Burn	
123	Mid Burn	
124	High Burn	
125	Low Freeze	
126	Mid Freeze	
127	High Freeze	
128	Low Shock	
129	Mid Shock	
130	Diamond Dust	LRN
131	Ice Age	LRN
132	High Shock	
133	Low Dizzy	
134	Mid Dizzy	
135	High Dizzy	
136	Low Confuse	
137	Mid Confuse	
138	High Confuse	
139	Low Fear	
140	Panta Rhei	LRN
141	Vacuum Wave	LRN
142	Mid Fear	
143	High Fear	
144	Low Forget	
145	Mid Forget	
146	High Forget	
147	Low Brainwash	
148	Mid Brainwash	
149	High Brainwash	
150	Thunder Reign	LRN
151	Wild Thunder	LRN
152	Low Sleep	
153	Mid Sleep	
154	High Sleep	
155	Low Rage	
156	Mid Rage	
157	High Rage	
158	Low Despair	
159	Mid Despair	
160	Divine Judgment	LRN
161	Samsara	Daisoujou
162	High Despair	
163	Low All Ail	
164	Mid All Ail	
165	High All Ail	
166	BLANK	FLR
167	BLANK	FLR
168	BLANK	FLR
169	BLANK	FLR
170	Demonic Decree	LRN
171	Die For Me!	Alice
172	BLANK	FLR
173	BLANK	FLR
174	BLANK	FLR
175	BLANK	FLR
176	Atomic Flare	LRN
177	Cosmic Flare	LRN
178	BLANK	FLR
179	BLANK	FLR
180	Black Viper	LRN
181	Morning Star	Lucifer
182	BLANK	FLR
183	BLANK	FLR
184	BLANK	FLR
185	BLANK	FLR
186	BLANK	FLR
187	BLANK	FLR
188	BLANK	FLR
189	BLANK	FLR
190	Psi	LRN
191	Psio	LRN
192	Psiodyne	LRN
193	Mapsi	LRN
194	Mapsio	LRN
195	Mapsiodyne	LRN
196	BLANK	FLR
197	Psycho Force	LRN
198	Psycho Blast	LRN
199	BLANK	FLR
200	Lunge	LRN
201	Assault Dive	LRN
202	Megaton Raid	LRN
203	God's Hand	LRN
204	Lunge	
205	Lucky Punch	LRN
206	Miracle Punch	LRN
207	BLANK	FLR
208	BLANK	FLR
209	BLANK	FLR
210	Cleave	LRN
211	Giant Slice	LRN
212	Brave Blade	LRN
213	Sword Dance	LRN
214	BLANK	FLR
215	Hassou Tobi	Yoshitsune
216	Ayamur	Baal
217	BLANK	FLR
218	BLANK	FLR
219	BLANK	FLR
220	Cornered Fang	LRN
221	Rising Slash	LRN
222	Deadly Fury	LRN
223	BLANK	FLR
224	Snap	LRN
225	Triple Down	LRN
226	One-shot Kill	LRN
227	Riot Gun	LRN
228	BLANK	FLR
229	BLANK	FLR
230	Vajra Blast	LRN
231	Vorpal Blade	LRN
232	BLANK	FLR
233	BLANK	FLR
234	BLANK	FLR
235	Vicious Strike	LRN
236	Heat Wave	LRN
237	Gigantomachia	LRN
238	BLANK	FLR
239	BLANK	FLR
240	BLANK	FLR
241	Rampage	LRN
242	Swift Strike	LRN
243	Deathbound	LRN
244	Agneyastra	LRN
245	BLANK	FLR
246	BLANK	FLR
247	Rising Slash	
248	Deadly Fury	
249	BLANK	FLR
250	Double Fangs	LRN
251	BLANK	FLR
252	BLANK	FLR
253	Tempest Slash	LRN
254	Myriad Slashes	LRN
255	BLANK	FLR
256	BLANK	FLR
257	BLANK	FLR
258	BLANK	FLR
259	BLANK	FLR
260	Sledgehammer	LRN
261	Skull Cracker	LRN
262	Terror Claw	LRN
263	Headbutt	LRN
264	Stomach Blow	
265	Dream Needle	LRN
266	Hysterical Slap	LRN
267	Negative Pile	LRN
268	Brain Shake	LRN
269	BLANK	FLR
270	Flash Bomb	LRN
271	Mind Slice	LRN
272	Bloodbath	LRN
273	Memory Blow	LRN
274	Insatiable Strike	
275	Dormin Rush	LRN
276	Oni-Kagura	LRN
277	Bad Beat	LRN
278	Brain Buster	LRN
279	BLANK	FLR
280	Handgun	
281	Shotgun	
282	Slingshot	
283	Machine Gun	
284	Assault Rifle	
285	Revolver	
286	Grenade Launcher	
287	Laser Gun	
288	BLANK	FLR
289	BLANK	FLR
290	BLANK	FLR
291	BLANK	FLR
292	BLANK	FLR
293	BLANK	FLR
294	BLANK	FLR
295	BLANK	FLR
296	BLANK	FLR
297	BLANK	FLR
298	BLANK	FLR
299	Attack	
300	Dia	LRN
301	Diarama	LRN
302	Diarahan	LRN
303	BLANK	FLR
304	BLANK	FLR
305	Media	LRN
306	Mediarama	LRN
307	Mediarahan	LRN
308	BLANK	FLR
309	BLANK	FLR
310	Recarm	LRN
311	Samarecarm	LRN
312	Recarmdra	
313	BLANK	FLR
314	BLANK	FLR
315	Amrita Drop	LRN
316	Amrita Shower	LRN
317	BLANK	FLR
318	Salvation	LRN
319	BLANK	FLR
320	BLANK	FLR
321	BLANK	FLR
322	BLANK	FLR
323	BLANK	FLR
324	BLANK	FLR
325	Patra	LRN
326	BLANK	FLR
327	Energy Shower	LRN
328	Energy Drop	LRN
329	Baisudi	LRN
330	Me Patra	LRN
331	Mabaisudi	LRN
332	BLANK	FLR
333	BLANK	FLR
334	BLANK	FLR
335	Tarukaja	LRN
336	Rakukaja	LRN
337	Sukukaja	LRN
338	Heat Riser	LRN
339	BLANK	FLR
340	Matarukaja	LRN
341	Marakukaja	LRN
342	Masukukaja	LRN
343	Thermopylae	LRN
344	BLANK	FLR
345	Tarunda	LRN
346	Rakunda	LRN
347	Sukunda	LRN
348	Debilitate	LRN
349	BLANK	FLR
350	Matarunda	LRN
351	Marakunda	LRN
352	Masukunda	LRN
353	BLANK	FLR
354	BLANK	FLR
355	Dekunda	LRN
356	Dekaja	LRN
357	BLANK	FLR
358	BLANK	FLR
359	BLANK	FLR
360	Charge	LRN
361	Concentrate	LRN
362	BLANK	FLR
363	BLANK	FLR
364	BLANK	FLR
365	Rebellion	LRN
366	Revolution	LRN
367	BLANK	FLR
368	BLANK	FLR
369	BLANK	FLR
370	Tetrakarn	LRN
371	Makarakarn	LRN
372	Tetraja	LRN
373	BLANK	FLR
374	BLANK	FLR
375	Tetra Break	LRN
376	Makara Break	LRN
377	BLANK	FLR
378	BLANK	FLR
379	BLANK	FLR
380	Fire Wall	LRN
381	Ice Wall	LRN
382	Elec Wall	LRN
383	Wind Wall	LRN
384	BLANK	FLR
385	Fire Break	LRN
386	Ice Break	LRN
387	Wind Break	LRN
388	Elec Break	LRN
389	BLANK	FLR
390	Trafuri	
391	Traesto	
392	BLANK	FLR
393	Nuke Wall	LRN
394	Psy Wall	LRN
395	Nuke Break	LRN
396	Psy Break	LRN
397	BLANK	FLR
398	BLANK	FLR
399	BLANK	FLR
400	All-out Lv 1	
401	All-out Lv 2	
402	All-out Lv 3	
403	Emergency Escape	
404	Attack	
405	Down Shot	
406	Summon	
407	Call for Backup	
408	Outlaw Attack	
409	Barrage	
410	Follow Crush	
411	Follow Claw	
412	Follow Whip	
413	Follow Blade	
414	Follow Knuckle	
415	Follow Axe	
416	Follow Saber	
417	Dispose Item	
418	Heal Enemy	
419	Death (Despair)	
420	Ally1 Follow-Up	
421	Ally2 Follow-Up	
422	Ally3 Follow-Up	
423	Ally4 Follow-Up	
424	Ally5 Follow-Up	
425	Ally6 Follow-Up	
426	Ally7 Follow-Up	
427	Power Up Enemy	
428	Power Up Enemy	
429	Power Up Enemy	
430	Steal Info	
431	Sup Matarukaja	
432	Sup Marakukaja	
433	Sup Masukukaja	
434	Sup All Kaja	
435	Sup Charge	
436	Sup HP +30%	
437	Sup SP +10%	
438	Sup Escape Route	
439	Sup Third Eye	
440	Subrecover HP	PRT
441	Subrecover SP	PRT
442	Analysis	PRT
443	Deep Analysis	
444	Full Analysis	
445	All-Out Attack	
446	Dust Flurry	
447	Tongue Whip	
448	Whip Strike	
449	Lustful Slurp	
450	Libido Boost	
451	Golden Knife	
452	Lick	
453	Gold Medal Spike	
454	Volleyball Assault	
455	Maelstrom	
456	Flame Dance	
457	Silent Snowscape	
458	Thunderclap	
459	Maeiga	
460	Hunger All	
461	Ocular Vulcan	
